# BÁO CÁO CHI TIẾT SẢN PHẨM TRONG TỪNG PHIẾU ĐÃ SEED

## I. PHIẾU NHẬP KHO (STOCK IN)

### Phiếu nhập: SI-SEED-001 - Ngày: 13/06/2026 21:47
| Tên sản phẩm | Số lượng | Đơn giá (VND) | Có Serial? |
| :--- | :---: | :---: | :---: |
| MacBook Pro 14 M3 Pro | 7,00 | 48.000.000 | Có |
| iPhone 15 Pro Max 256GB | 4,00 | 28.000.000 | Có |
| Điện thoại Xiaomi Redmi Note | 5,00 | 0 | Không |
| Laptop Lenovo ThinkPad E14 | 6,00 | 0 | Không |

### Phiếu nhập: SI-SEED-002 - Ngày: 13/06/2026 21:47
| Tên sản phẩm | Số lượng | Đơn giá (VND) | Có Serial? |
| :--- | :---: | :---: | :---: |
| Laptop HP Pavilion 15 | 7,00 | 12.000.000 | Có |
| iPhone 15 Pro | 7,00 | 22.000.000 | Có |
| Router MikroTik hAP ax2 | 6,00 | 0 | Không |
| Hub USB-C Corsair TBT100 | 6,00 | 900.000 | Không |

### Phiếu nhập: SI-SEED-003 - Ngày: 13/06/2026 21:47
| Tên sản phẩm | Số lượng | Đơn giá (VND) | Có Serial? |
| :--- | :---: | :---: | :---: |
| Ổ cứng SSD Samsung 1TB | 4,00 | 1.800.000 | Có |
| Laptop ThinkPad X1 Carbon | 5,00 | 28.000.000 | Có |
| Loa Xiaomi Compact | 6,00 | 0 | Không |
| Switch Cisco CBS110 8T | 3,00 | 0 | Không |

### Phiếu nhập: SI-SEED-004 - Ngày: 13/06/2026 21:47
| Tên sản phẩm | Số lượng | Đơn giá (VND) | Có Serial? |
| :--- | :---: | :---: | :---: |
| Màn hình LG 27" 4K IPS | 7,00 | 7.500.000 | Có |
| Ổ cứng SSD Samsung 1TB | 5,00 | 1.800.000 | Có |
| Laptop Dell Latitude 5440 | 3,00 | 0 | Không |
| Màn hình BenQ 24" FHD | 4,00 | 3.200.000 | Không |

### Phiếu nhập: SI-SEED-005 - Ngày: 13/06/2026 21:47
| Tên sản phẩm | Số lượng | Đơn giá (VND) | Có Serial? |
| :--- | :---: | :---: | :---: |
| OPPO Find X6 Pro | 7,00 | 16.000.000 | Có |
| Tablet iPad Pro 12.9" | 6,00 | 22.000.000 | Có |
| RAM Corsair 32GB DDR5 Kit | 6,00 | 3.200.000 | Không |
| Camera Hikvision DS-2CD1023 | 5,00 | 0 | Không |

### Phiếu nhập: SI-SEED-006 - Ngày: 13/06/2026 21:47
| Tên sản phẩm | Số lượng | Đơn giá (VND) | Có Serial? |
| :--- | :---: | :---: | :---: |
| Máy in HP LaserJet M110w | 6,00 | 3.500.000 | Có |
| Màn hình LG 27" 4K IPS | 5,00 | 7.500.000 | Có |
| RAM Crucial 16GB DDR4 | 6,00 | 0 | Không |
| Máy quét Canon LiDE 300 | 6,00 | 0 | Không |

### Phiếu nhập: SI-SEED-007 - Ngày: 13/06/2026 21:47
| Tên sản phẩm | Số lượng | Đơn giá (VND) | Có Serial? |
| :--- | :---: | :---: | :---: |
| Laptop MSI Stealth 16 | 7,00 | 42.000.000 | Có |
| Laptop ASUS ROG Strix G16 | 7,00 | 30.000.000 | Có |
| PC đồ họa Ryzen 7 | 7,00 | 0 | Không |
| Máy quét mã vạch Zebra DS2208 | 6,00 | 0 | Không |

### Phiếu nhập: SI-SEED-008 - Ngày: 13/06/2026 21:47
| Tên sản phẩm | Số lượng | Đơn giá (VND) | Có Serial? |
| :--- | :---: | :---: | :---: |
| Máy in HP LaserJet M110w | 5,00 | 3.500.000 | Có |
| Laptop MSI Stealth 16 | 3,00 | 42.000.000 | Có |
| Laptop Dell Latitude 5440 | 5,00 | 0 | Không |
| Điện thoại Xiaomi Redmi Note | 7,00 | 0 | Không |

### Phiếu nhập: SI-SEED-009 - Ngày: 13/06/2026 21:47
| Tên sản phẩm | Số lượng | Đơn giá (VND) | Có Serial? |
| :--- | :---: | :---: | :---: |
| Laptop HP Pavilion 15 | 6,00 | 12.000.000 | Có |
| Máy in HP LaserJet M110w | 7,00 | 3.500.000 | Có |
| Laptop HP ProBook 440 G10 | 5,00 | 0 | Không |
| Router MikroTik hAP ax2 | 5,00 | 0 | Không |

### Phiếu nhập: SI-SEED-010 - Ngày: 13/06/2026 21:47
| Tên sản phẩm | Số lượng | Đơn giá (VND) | Có Serial? |
| :--- | :---: | :---: | :---: |
| iPhone 15 Pro Max 256GB | 5,00 | 28.000.000 | Có |
| Máy in HP LaserJet M110w | 7,00 | 3.500.000 | Có |
| RAM Kingston 16GB DDR4 | 4,00 | 850.000 | Không |
| Máy chiếu Epson EB-E01 | 4,00 | 0 | Không |

### Phiếu nhập: SI-SEED-011 - Ngày: 13/06/2026 21:47
| Tên sản phẩm | Số lượng | Đơn giá (VND) | Có Serial? |
| :--- | :---: | :---: | :---: |
| Máy in HP LaserJet M110w | 6,00 | 3.500.000 | Có |
| Laptop HP Pavilion 15 | 3,00 | 12.000.000 | Có |
| SSD WD Blue SN580 1TB | 6,00 | 0 | Không |
| Màn hình Samsung 24 inch | 7,00 | 0 | Không |

### Phiếu nhập: SI-SEED-012 - Ngày: 13/06/2026 21:47
| Tên sản phẩm | Số lượng | Đơn giá (VND) | Có Serial? |
| :--- | :---: | :---: | :---: |
| Laptop Dell XPS 13 | 3,00 | 25.000.000 | Có |
| Laptop Lenovo ThinkPad X1 Carbon | 5,00 | 32.000.000 | Có |
| Máy in Canon LBP 2900 | 5,00 | 0 | Không |
| GPU NVIDIA RTX 4060 | 3,00 | 0 | Không |

### Phiếu nhập: SI-SEED-013 - Ngày: 13/06/2026 21:47
| Tên sản phẩm | Số lượng | Đơn giá (VND) | Có Serial? |
| :--- | :---: | :---: | :---: |
| Laptop HP Pavilion 15 | 3,00 | 12.000.000 | Có |
| iPhone 15 Pro | 7,00 | 22.000.000 | Có |
| HDD Seagate 2TB | 7,00 | 0 | Không |
| Bàn phím Logitech K120 | 7,00 | 0 | Không |

### Phiếu nhập: SI-SEED-014 - Ngày: 13/06/2026 21:47
| Tên sản phẩm | Số lượng | Đơn giá (VND) | Có Serial? |
| :--- | :---: | :---: | :---: |
| OPPO Find X6 Pro | 5,00 | 16.000.000 | Có |
| iPhone 15 Pro Max 256GB | 6,00 | 28.000.000 | Có |
| Chuột Razer DeathAdder | 6,00 | 0 | Không |
| Ổ cứng HDD Seagate 2TB | 6,00 | 1.100.000 | Không |

### Phiếu nhập: SI-SEED-015 - Ngày: 13/06/2026 21:47
| Tên sản phẩm | Số lượng | Đơn giá (VND) | Có Serial? |
| :--- | :---: | :---: | :---: |
| Laptop Dell XPS 15 9530 | 3,00 | 35.000.000 | Có |
| Samsung Galaxy S24 Ultra | 5,00 | 22.000.000 | Có |
| Router MikroTik hAP ax2 | 5,00 | 0 | Không |
| RAM Corsair 32GB DDR5 Kit | 4,00 | 3.200.000 | Không |

### Phiếu nhập: SI-SEED-016 - Ngày: 13/06/2026 21:47
| Tên sản phẩm | Số lượng | Đơn giá (VND) | Có Serial? |
| :--- | :---: | :---: | :---: |
| iPhone 15 Pro Max 256GB | 3,00 | 28.000.000 | Có |
| OPPO Find X6 Pro | 5,00 | 16.000.000 | Có |
| GPU NVIDIA RTX 4060 | 4,00 | 0 | Không |
| Mainboard Gigabyte B760M | 6,00 | 0 | Không |

### Phiếu nhập: SI-SEED-017 - Ngày: 13/06/2026 21:47
| Tên sản phẩm | Số lượng | Đơn giá (VND) | Có Serial? |
| :--- | :---: | :---: | :---: |
| Tai nghe Sony WH-1000XM5 | 5,00 | 6.500.000 | Có |
| Laptop Dell XPS 13 | 7,00 | 25.000.000 | Có |
| Máy POS bán hàng | 3,00 | 0 | Không |
| Máy in Brother HL-L2321D | 6,00 | 0 | Không |

### Phiếu nhập: SI-SEED-018 - Ngày: 13/06/2026 21:47
| Tên sản phẩm | Số lượng | Đơn giá (VND) | Có Serial? |
| :--- | :---: | :---: | :---: |
| Laptop Lenovo ThinkPad X1 Carbon | 5,00 | 32.000.000 | Có |
| Samsung Galaxy S24 Ultra | 3,00 | 22.000.000 | Có |
| Bàn phím Razer BlackWidow V3 | 3,00 | 2.800.000 | Không |
| Màn hình LG 27 inch | 3,00 | 0 | Không |

### Phiếu nhập: SI-SEED-019 - Ngày: 13/06/2026 21:47
| Tên sản phẩm | Số lượng | Đơn giá (VND) | Có Serial? |
| :--- | :---: | :---: | :---: |
| OPPO Find X6 Pro | 3,00 | 16.000.000 | Có |
| Tai nghe Sony WH-1000XM5 | 6,00 | 6.500.000 | Có |
| Bàn phím Razer BlackWidow V3 | 3,00 | 2.800.000 | Không |
| Webcam Logitech C920 | 7,00 | 1.200.000 | Không |

### Phiếu nhập: SI-SEED-020 - Ngày: 13/06/2026 21:47
| Tên sản phẩm | Số lượng | Đơn giá (VND) | Có Serial? |
| :--- | :---: | :---: | :---: |
| Máy in HP LaserJet M110w | 5,00 | 3.500.000 | Có |
| Tai nghe Sony WH-1000XM5 | 5,00 | 6.500.000 | Có |
| Máy chiếu Epson EB-E01 | 4,00 | 0 | Không |
| Màn hình ViewSonic 22 inch | 4,00 | 0 | Không |

## II. PHIẾU XUẤT KHO (STOCK OUT)

### Phiếu xuất: SO-SEED-001 - Ngày: 13/06/2026 21:47
| Tên sản phẩm | Số lượng | Đơn giá (VND) | Có Serial? |
| :--- | :---: | :---: | :---: |
| Ổ cứng SSD Samsung 1TB | 1,00 | 2.200.000 | Có |
| MacBook Pro 14 M3 Pro | 2,00 | 55.000.000 | Có |
| RAM Kingston 8GB DDR4 | 2,00 | 590.000 | Không |
| UPS APC BX650 | 2,00 | 1.680.000 | Không |

### Phiếu xuất: SO-SEED-002 - Ngày: 13/06/2026 21:47
| Tên sản phẩm | Số lượng | Đơn giá (VND) | Có Serial? |
| :--- | :---: | :---: | :---: |
| Laptop HP Pavilion 15 | 2,00 | 15.500.000 | Có |
| OPPO Find X6 Pro | 1,00 | 19.500.000 | Có |
| Điện thoại Xiaomi Redmi Note | 2,00 | 4.890.000 | Không |
| Router TP-Link Archer C6 | 2,00 | 950.000 | Không |

### Phiếu xuất: SO-SEED-003 - Ngày: 13/06/2026 21:47
| Tên sản phẩm | Số lượng | Đơn giá (VND) | Có Serial? |
| :--- | :---: | :---: | :---: |
| OPPO Find X6 Pro | 1,00 | 19.500.000 | Có |
| Laptop Dell XPS 15 9530 | 2,00 | 42.000.000 | Có |
| Máy quét mã vạch Honeywell 1470G | 1,00 | 2.980.000 | Không |
| Laptop Dell Latitude 5440 | 1,00 | 18.500.000 | Không |

### Phiếu xuất: SO-SEED-004 - Ngày: 13/06/2026 21:47
| Tên sản phẩm | Số lượng | Đơn giá (VND) | Có Serial? |
| :--- | :---: | :---: | :---: |
| Laptop ASUS ROG Strix G16 | 1,00 | 37.000.000 | Có |
| iPhone 15 Pro Max 256GB | 1,00 | 32.000.000 | Có |
| Bàn phím Logitech K120 | 2,00 | 180.000 | Không |
| Máy POS bán hàng | 1,00 | 11.500.000 | Không |

### Phiếu xuất: SO-SEED-005 - Ngày: 13/06/2026 21:47
| Tên sản phẩm | Số lượng | Đơn giá (VND) | Có Serial? |
| :--- | :---: | :---: | :---: |
| iPhone 15 Pro | 2,00 | 27.000.000 | Có |
| Laptop Dell XPS 13 | 2,00 | 30.000.000 | Có |
| Máy in Brother HL-L2321D | 2,00 | 3.420.000 | Không |
| Ổ cứng di động WD 1TB | 1,00 | 1.490.000 | Không |

### Phiếu xuất: SO-SEED-006 - Ngày: 13/06/2026 21:47
| Tên sản phẩm | Số lượng | Đơn giá (VND) | Có Serial? |
| :--- | :---: | :---: | :---: |
| Tablet iPad Pro 12.9" | 1,00 | 28.000.000 | Có |
| Samsung Galaxy S24 Ultra | 2,00 | 26.000.000 | Có |
| Ổ cứng HDD Seagate 2TB | 2,00 | 1.450.000 | Không |
| Router MikroTik hAP ax2 | 1,00 | 2.250.000 | Không |

### Phiếu xuất: SO-SEED-007 - Ngày: 13/06/2026 21:47
| Tên sản phẩm | Số lượng | Đơn giá (VND) | Có Serial? |
| :--- | :---: | :---: | :---: |
| OPPO Find X6 Pro | 2,00 | 19.500.000 | Có |
| Ổ cứng SSD Samsung 1TB | 2,00 | 2.200.000 | Có |
| Camera Dahua IPC-HFW1230 | 2,00 | 890.000 | Không |
| Màn hình Samsung 24 inch | 1,00 | 3.250.000 | Không |

### Phiếu xuất: SO-SEED-008 - Ngày: 13/06/2026 21:47
| Tên sản phẩm | Số lượng | Đơn giá (VND) | Có Serial? |
| :--- | :---: | :---: | :---: |
| iPhone 15 Pro Max 256GB | 1,00 | 32.000.000 | Có |
| Laptop HP Pavilion 15 | 1,00 | 15.500.000 | Có |
| Laptop Dell Latitude 5440 | 1,00 | 18.500.000 | Không |
| Máy in Epson L3250 | 1,00 | 4.150.000 | Không |

### Phiếu xuất: SO-SEED-009 - Ngày: 13/06/2026 21:47
| Tên sản phẩm | Số lượng | Đơn giá (VND) | Có Serial? |
| :--- | :---: | :---: | :---: |
| Laptop Dell XPS 15 9530 | 1,00 | 42.000.000 | Có |
| Máy in HP LaserJet M110w | 2,00 | 4.500.000 | Có |
| HDD Seagate 2TB | 2,00 | 1.490.000 | Không |
| Chuột Logitech M331 | 1,00 | 310.000 | Không |

### Phiếu xuất: SO-SEED-010 - Ngày: 13/06/2026 21:47
| Tên sản phẩm | Số lượng | Đơn giá (VND) | Có Serial? |
| :--- | :---: | :---: | :---: |
| OPPO Find X6 Pro | 1,00 | 19.500.000 | Có |
| Laptop ThinkPad X1 Carbon | 1,00 | 34.000.000 | Có |
| Adapter Anker 65W | 1,00 | 790.000 | Không |
| Tablet Samsung Tab A9 | 2,00 | 4.490.000 | Không |

### Phiếu xuất: SO-SEED-011 - Ngày: 13/06/2026 21:47
| Tên sản phẩm | Số lượng | Đơn giá (VND) | Có Serial? |
| :--- | :---: | :---: | :---: |
| Laptop ThinkPad X1 Carbon | 1,00 | 34.000.000 | Có |
| Ổ cứng SSD Samsung 1TB | 2,00 | 2.200.000 | Có |
| Máy in Brother HL-L2321D | 1,00 | 3.420.000 | Không |
| Máy in Canon LBP 2900 | 1,00 | 3.850.000 | Không |

### Phiếu xuất: SO-SEED-012 - Ngày: 13/06/2026 21:47
| Tên sản phẩm | Số lượng | Đơn giá (VND) | Có Serial? |
| :--- | :---: | :---: | :---: |
| Máy in HP LaserJet M110w | 1,00 | 4.500.000 | Có |
| Ổ cứng SSD Samsung 1TB | 2,00 | 2.200.000 | Có |
| Tablet Samsung Tab A9 | 1,00 | 4.490.000 | Không |
| Camera Dahua IPC-HFW1230 | 2,00 | 890.000 | Không |

### Phiếu xuất: SO-SEED-013 - Ngày: 13/06/2026 21:47
| Tên sản phẩm | Số lượng | Đơn giá (VND) | Có Serial? |
| :--- | :---: | :---: | :---: |
| Laptop Dell XPS 13 | 2,00 | 30.000.000 | Có |
| Laptop MSI Stealth 16 | 2,00 | 52.000.000 | Có |
| CPU Intel Core i5-13400 | 1,00 | 4.890.000 | Không |
| RAM Corsair 32GB DDR5 Kit | 1,00 | 4.100.000 | Không |

### Phiếu xuất: SO-SEED-014 - Ngày: 13/06/2026 21:47
| Tên sản phẩm | Số lượng | Đơn giá (VND) | Có Serial? |
| :--- | :---: | :---: | :---: |
| Laptop MSI Stealth 16 | 2,00 | 52.000.000 | Có |
| Tablet iPad Pro 12.9" | 2,00 | 28.000.000 | Có |
| Webcam Logitech C920 | 2,00 | 1.600.000 | Không |
| Chuột Razer DeathAdder | 2,00 | 1.250.000 | Không |

### Phiếu xuất: SO-SEED-015 - Ngày: 13/06/2026 21:47
